model_key,model_label,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_penalty,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,param_gamma,param_kernel,param_max_depth,param_max_features,param_min_samples_split,param_n_estimators,param_learning_rate,param_subsample,param_colsample_bytree,param_min_child_samples,param_num_leaves,param_reg_alpha,param_depth,param_iterations,param_l2_leaf_reg
rf,Random Forest,1.7037174224853515,0.3072112023455523,0.35797848701477053,0.20737367427819772,,,"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 100}",0.580723327698598,0.5316283254968533,0.5104604322973294,0.5338027090713785,0.5240306770316213,0.5361290943191561,0.023746858949625783,65,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,log2,2.0,100.0,,,,,,,,,
rf,Random Forest,2.964428758621216,0.264733793526664,0.5045423984527588,0.2960936582733051,,,"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 200}",0.5806309955050423,0.5478344175201189,0.5,0.5357756856086279,0.5204290489435865,0.5369340295154751,0.0270781165367169,63,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,log2,2.0,200.0,,,,,,,,,
rf,Random Forest,6.298092842102051,0.2664079376965676,0.6109841823577881,0.18086009426522975,,,"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 400}",0.5712553899861561,0.547638647499694,0.49908003601921525,0.5209870239891525,0.5209870239891525,0.5319896242966742,0.024947335368876424,71,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,log2,2.0,400.0,,,,,,,,,
rf,Random Forest,1.649315881729126,0.22662490429740242,0.43071813583374025,0.15555231611951495,,,"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 100}",0.5771645108190728,0.5613413993878117,0.5185587587482346,0.541849082464196,0.5383666712208304,0.5474560845280291,0.020122146531034703,41,0.9989974925228782,0.9986062657632019,0.9986062657632019,0.9989970500222449,0.9984350538141727,0.9987284255771398,0.0002282407261581959,,,,log2,5.0,100.0,,,,,,,,,
rf,Random Forest,3.1901955127716066,0.21068371558149115,0.4683815002441406,0.10566034839076989,,,"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 200}",0.5942947707239261,0.5512491385436334,0.518411033833193,0.5451409756985618,0.5587716039037359,0.55357350454061,0.024487349071597157,37,0.9989974925228782,0.9996086871303898,0.9996086871303898,0.9996089931424325,0.9992178332788377,0.9994083386409855,0.00025519721359566983,,,,log2,5.0,200.0,,,,,,,,,
rf,Random Forest,6.438952302932739,0.37427543890234094,0.7242390155792237,0.2781815007573752,,,"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 400}",0.5965202402759051,0.5468268536229153,0.502627898073285,0.5372577788566378,0.5418067488509071,0.54500790393593,0.03007725420548681,53,0.9996086871303898,0.9996086871303898,0.9996086871303898,0.9996089931424325,0.9992178332788377,0.9995305775624879,0.00015637218673878042,,,,log2,5.0,400.0,,,,,,,,,
rf,Random Forest,1.727609395980835,0.11693047081065687,0.32685441970825196,0.22602790834155495,,,"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 100}",0.6039849287173042,0.5716172876404384,0.5448623679425842,0.5323397222989321,0.535961171397674,0.5577530955993867,0.026894224572712417,35,0.9801644565485673,0.9852315419204681,0.9739186367112872,0.9827775566645857,0.9819972647141233,0.9808178913118063,0.003814137193256445,,,,log2,10.0,100.0,,,,,,,,,
rf,Random Forest,3.162484121322632,0.4372186065043426,0.38942618370056153,0.1909488425517205,,,"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 200}",0.6107944440981569,0.5761417692159579,0.5365900870950072,0.549137602455118,0.5458978243131222,0.5637123454354724,0.026968914636101463,23,0.9867401469662136,0.9857925663079864,0.9830056509573101,0.9853400748856684,0.9850068873042084,0.9851770652842774,0.0012322855763982883,,,,log2,10.0,200.0,,,,,,,,,
rf,Random Forest,7.390995454788208,0.5048418943139515,0.7235078334808349,0.2873928649838136,,,"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 400}",0.6181858935786289,0.564375956777249,0.5329521462533746,0.5447200498573268,0.5391188479330427,0.5598705788799244,0.0310024168104136,27,0.989749975471968,0.9877981889630897,0.9848401887602728,0.9910247856426476,0.9850068873042084,0.9876840052284374,0.002477754517026093,,,,log2,10.0,400.0,,,,,,,,,
rf,Random Forest,2.317279243469238,0.830655525413765,0.32523465156555176,0.19253946218307197,,,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}",0.6110953280790158,0.5876068947392449,0.5408553501666796,0.5797247106323362,0.5539065331216262,0.5746377633477806,0.024876755314492117,13,0.923873253552177,0.9357928930027505,0.9325915070227901,0.9385737997072763,0.9255422969130547,0.9312747500396096,0.0057108100991159925,,,10,sqrt,2.0,100.0,,,,,,,,,
rf,Random Forest,2.6783976554870605,0.3381169567805328,0.29766459465026857,0.10507522841411684,,,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 200}",0.6301260378126045,0.5769255907436435,0.5408553501666796,0.5715694560523502,0.5451690258658447,0.5729290921282245,0.03190190404778767,17,0.9373800466717888,0.9341625963500828,0.9363687258318348,0.9383392574637627,0.9337446845852189,0.9359990621805376,0.001787462359463752,,,10,sqrt,2.0,200.0,,,,,,,,,
rf,Random Forest,5.6578868389129635,0.36357980579828175,0.7867534160614014,0.2621987265888403,,,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 400}",0.6221996085993436,0.5769255907436435,0.5489378112211212,0.5764180929464171,0.5471848590510968,0.5743331925123243,0.027144865179525517,15,0.9410470753228057,0.9394834261343947,0.9363426753857751,0.9380577293634305,0.9363831354864327,0.9382628083385678,0.0018168207625687415,,,10,sqrt,2.0,400.0,,,,,,,,,
rf,Random Forest,1.5268211841583252,0.05637660149368922,0.25254392623901367,0.08993461492546846,,,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100}",0.6206342620697813,0.5815404871849372,0.5626225356729491,0.5747177408852127,0.5564680598045946,0.579196617123495,0.022511863413076837,11,0.9146265152301843,0.9170898503185624,0.9125093431972219,0.9132645795827943,0.9066542180177765,0.9128289012693079,0.0034584895247405665,,,10,sqrt,5.0,100.0,,,,,,,,,
rf,Random Forest,2.4426059246063234,0.19324861384056521,0.36447744369506835,0.15534702845224924,,,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 200}",0.6248529238713605,0.5785959594688901,0.559263565140907,0.5875065985707493,0.5613654123945404,0.5823168918892895,0.02375084325864289,7,0.9242505757053605,0.9169422472636815,0.9163896983918018,0.9210813066543184,0.917235264999731,0.9191798186029786,0.0030298851267963655,,,10,sqrt,5.0,200.0,,,,,,,,,
rf,Random Forest,5.390899515151977,0.40548151342549965,0.45593881607055664,0.06290117219454663,,,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 400}",0.6226057080103417,0.583762097326051,0.5637920889901198,0.5741853482365434,0.5563306433165617,0.5801351771759236,0.023177805621978145,9,0.9257722756044082,0.9169422472636815,0.9229818715030449,0.9269329859547822,0.9218939542136476,0.9229046669079128,0.0034936652012853625,,,10,sqrt,5.0,400.0,,,,,,,,,
rf,Random Forest,1.4579647064208985,0.16902496319989838,0.40268683433532715,0.13457628998670923,,,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 100}",0.6268477588259354,0.5889609494694873,0.5852035844850214,0.5764844111689574,0.5729856561228095,0.5900964720144423,0.019255934477790594,5,0.8861964965829207,0.8782869141822973,0.8968424419551716,0.8858778969293093,0.8774800197332958,0.8849367538765989,0.0069862917574329084,,,10,sqrt,10.0,100.0,,,,,,,,,
rf,Random Forest,3.045687961578369,0.33290208175272373,0.7200404644012451,0.39007456925336337,,,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 200}",0.6253675389908956,0.5960449713261049,0.573209595345436,0.5848064840167155,0.5728788952394301,0.5904614969837164,0.019433795924785748,3,0.8962070593448054,0.8815108101183048,0.9018998432473314,0.8974274271580737,0.8902358021197215,0.8934561883976475,0.0070384129673736195,,,10,sqrt,10.0,200.0,,,,,,,,,
rf,Random Forest,5.472209310531616,0.3153211371959954,0.5205696582794189,0.21509599759128606,,,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 400}",0.6351383591739029,0.5955564624785797,0.5725812297883003,0.5735591554042786,0.5802520208292495,0.5914174455348623,0.023353963302140696,1,0.8958307389169835,0.8882223894112407,0.8995868591179488,0.9022228786846465,0.8913643583645171,0.8954454448990674,0.005139283409449513,,,10,sqrt,10.0,400.0,,,,,,,,,
